name	type	Also known as                                                                                                                              
	Employer	                                                                                                                                            
Miasole	Company	Miasolé                                                                                                                               
	Employer	                                                                                                                                            
	Venture Funded Company	                                                                                                                              
Rambøll Group	Company	                                                                                                                                
	Employer	                                                                                                                                            
	Engineering firm	                                                                                                                                    
	Engineer	                                                                                                                                            
	Engineering Firm	                                                                                                                                    
	Topic	                                                                                                                                               
Makani Power	Company	                                                                                                                                 
	Employer	                                                                                                                                            
Ken Saro-Wiwa	Person	                                                                                                                                 
	Deceased Person	                                                                                                                                     
	Activist	                                                                                                                                            
Wangari Maathai	Person	                                                                                                                               
	Film actor	                                                                                                                                          
	Award Winner	                                                                                                                                        
	Deceased Person	                                                                                                                                     
	NNDB Person	                                                                                                                                         
	Activist	                                                                                                                                            
Nancy Allen	Person	                                                                                                                                   
	Film actor	                                                                                                                                          
	TV Actor	                                                                                                                                            
	Activist	                                                                                                                                            
Yosef Tamir	Person	                                                                                                                                   
	Activist	                                                                                                                                            
Hu Jia	Person	                                                                                                                                        
	Activist	                                                                                                                                            
Simran Sethi	Person	                                                                                                                                  
	Activist	                                                                                                                                            
Nike Doggart	Person	                                                                                                                                  
	Activist	                                                                                                                                            
Marc van Roosmalen	Person	                                                                                                                            
	Activist	                                                                                                                                            
Ven Kirantidiye Pannasekera	Person	                                                                                                                   
	Activist	                                                                                                                                            
Alexandra Cousteau	Person	                                                                                                                            
	Activist	                                                                                                                                            
Wang Canfa	Person	                                                                                                                                    
	Activist	                                                                                                                                            
Juan Mayr	Person	                                                                                                                                     
	Activist	                                                                                                                                            
Olya Melen	Person	                                                                                                                                    
	Activist	                                                                                                                                            
Noah Idechong	Person	                                                                                                                                 
	Activist	                                                                                                                                            
Anne Kajir	Person	                                                                                                                                    
	Activist	                                                                                                                                            
Corneille Ewango	Person	                                                                                                                              
	Activist	                                                                                                                                            
Stephanie Danielle Roth	Person	                                                                                                                       
	Activist	                                                                                                                                            
Jadwiga Lopata	Person	                                                                                                                                
	Activist	                                                                                                                                            
Fatima Jibrell	Person	                                                                                                                                
	Activist	                                                                                                                                            
Pisit Charnsnoh	Person	                                                                                                                               
	Activist	                                                                                                                                            
Bruno Van Peteghem	Person	                                                                                                                            
	Activist	                                                                                                                                            
Jean La Rose	Person	                                                                                                                                  
	Activist	                                                                                                                                            
Vera Mischenko	Person	                                                                                                                                
	Activist	                                                                                                                                            
Oral Ataniyazova	Person	                                                                                                                              
	Activist	                                                                                                                                            
Terri Swearingen	Person	                                                                                                                              
	Activist	                                                                                                                                            
Yoichi Kuroda	Person	                                                                                                                                 
	Activist	                                                                                                                                            
JoAnn Tall	Person	                                                                                                                                    
	Activist	                                                                                                                                            
Tuenjai Deetes	Person	                                                                                                                                
	Activist	                                                                                                                                            
Samuel LaBudde	Person	                                                                                                                                
	Activist	                                                                                                                                            
Kory Johnson	Person	                                                                                                                                  
	Activist	                                                                                                                                            
Loir Botor Dingit	Person	                                                                                                                             
	Activist	                                                                                                                                            
Mahesh Chandra Mehta	Person	                                                                                                                          
	Activist	                                                                                                                                            
Tang Xiyang	Person	                                                                                                                                   
	Activist	                                                                                                                                            
Jonathon Solomon	Person	                                                                                                                              
	Activist	                                                                                                                                            
Josef Velek	Person	                                                                                                                                   
	Activist	                                                                                                                                            
Donald Knaack	Person	                                                                                                                                 
	Activist	                                                                                                                                            
Peter Cullen	Person	                                                                                                                                  
	Activist	                                                                                                                                            
Don Julio Garcia Agapito	Person	                                                                                                                      
	Activist	                                                                                                                                            
Robert Nadeau	Person	                                                                                                                                 
	Activist	                                                                                                                                            
Lindsay Hunt	Person	                                                                                                                                  
	Activist	                                                                                                                                            
John Picard	Person	                                                                                                                                   
	Activist	                                                                                                                                            
Josip Movcan	Person	                                                                                                                                  
	Activist	                                                                                                                                            
Roland Clift	Person	                                                                                                                                  
	Activist	                                                                                                                                            
Oliver Tickell	Person	                                                                                                                                
	Activist	                                                                                                                                            
Alexander Louis Peal	Person	                                                                                                                          
	Activist	                                                                                                                                            
Greg Reitman	Person	                                                                                                                                  
	Activist	                                                                                                                                            
	Film producer	                                                                                                                                       
Nanosolar	Venture Funded Company	                                                                                                                     
	Company	                                                                                                                                             
	Employer	                                                                                                                                            
Jain Irrigation Systems	Company	                                                                                                                      
	Employer	                                                                                                                                            
Konarka Technologies, Inc.	Company	                                                                                                                   
	Employer	                                                                                                                                            
	Venture Funded Company	                                                                                                                              
SunPower	Company	                                                                                                                                     
	Employer	                                                                                                                                            
SUNRGI	Employer	                                                                                                                                      
	Company	                                                                                                                                             
Standard Oil	Company	Standard Oil Company                                                                                                             
	Employer	                                                                                                                                            
	Industry	                                                                                                                                            
Exxon	Industry	                                                                                                                                       
Exxon Mobil	Company	ExxonMobil                                                                                                                        
	Employer	                                                                                                                                            
	Asset Owner	                                                                                                                                         
	Opinion Holder	                                                                                                                                      
	CRP Political Contributor	                                                                                                                           
	Topic	                                                                                                                                               
Nuclear Blast	Record label	Nuclear Blast Records                                                                                                      
	Company	                                                                                                                                             
	Employer	                                                                                                                                            
Nuclear Power Corporation of India	Company	                                                                                                           
	Employer	                                                                                                                                            
Nuclear Power Demonstration	Company	                                                                                                                  
	Location	                                                                                                                                            
	Employer	                                                                                                                                            
Nuclear Electric	Company	                                                                                                                             
	Employer	                                                                                                                                            
Nuclear Fuel Services	Company	                                                                                                                        
	Employer	                                                                                                                                            
Nuclear Measurements Corporation	Company	                                                                                                             
	Employer	                                                                                                                                            
Nuclear Solutions	Employer	                                                                                                                           
	Company	                                                                                                                                             
Mobil	Company	Mobil 1                                                                                                                                 
	Employer	Mobil Oil                                                                                                                                   
	NASCAR sponsor	                                                                                                                                      
Gulf Oil	Company	                                                                                                                                     
	Employer	                                                                                                                                            
Texaco	Company	Texaco Inc                                                                                                                             
	Employer	                                                                                                                                            
	NASCAR sponsor	                                                                                                                                      
Royal Dutch Shell	Company	Royal Dutch Shell plc                                                                                                       
	Aircraft Owner	Shell                                                                                                                                 
	Employer	                                                                                                                                            
	Asset Owner	                                                                                                                                         
	Company Founder	                                                                                                                                     
	Exhibition sponsor	                                                                                                                                  
Amoco	Company	                                                                                                                                        
	Employer	                                                                                                                                            
ARCO	Company	                                                                                                                                         
	Employer	                                                                                                                                            
Standard Oil of Ohio	Company	                                                                                                                         
	Employer	                                                                                                                                            
British Petroleum	Company	BP plc                                                                                                                      
	Employer	BP                                                                                                                                          
	Award Winner	                                                                                                                                        
	Engineer	                                                                                                                                            
	Engineering Firm	                                                                                                                                    
	Topic	                                                                                                                                               
HKN Inc.	Company	                                                                                                                                     
	Employer	                                                                                                                                            
Deutsche Erdöl-Aktiengesellschaft	Company	Deutsche Erdol-Aktiengesellschaft                                                                           
	Employer	                                                                                                                                            
Statoil ASA	Company	                                                                                                                                  
	Employer	                                                                                                                                            
	Location	                                                                                                                                            
Sunoco	Company	                                                                                                                                       
	Employer	                                                                                                                                            
	Location	                                                                                                                                            
Alyeska Pipeline Service Company	Company	                                                                                                             
	Employer	                                                                                                                                            
Koch Industries	Company	                                                                                                                              
	Employer	                                                                                                                                            
	CRP Political Contributor	                                                                                                                           
	Topic	                                                                                                                                               
Unocal Corporation	Company	                                                                                                                           
	Employer	                                                                                                                                            
Esso	Company	                                                                                                                                         
	Employer	                                                                                                                                            
Chevron Corporation	Company	                                                                                                                          
	Venture Investor	                                                                                                                                    
	Employer	                                                                                                                                            
	Asset Owner	                                                                                                                                         
Petrofina	Company	Petrofina SA                                                                                                                        
	Employer	                                                                                                                                            
Seven Sisters	Company	                                                                                                                                
	Employer	                                                                                                                                            
Saudi Aramco	Company	                                                                                                                                 
	Employer	                                                                                                                                            
	Asset Owner	                                                                                                                                         
Valero	Company	Valero Energy Corporation                                                                                                              
	Employer	                                                                                                                                            
	CRP Political Contributor	                                                                                                                           
	Topic	                                                                                                                                               
Tesoro	Company	                                                                                                                                       
	Employer	                                                                                                                                            
Gazprom	Company	OAO Gazprom                                                                                                                           
	Employer	Gazprom OJSC                                                                                                                                
		OJSC Gazprom                                                                                                                                        
		Gazprom OAO                                                                                                                                         
YUKOS	Company	                                                                                                                                        
	Employer	                                                                                                                                            
Citgo	Company	                                                                                                                                        
	Employer	                                                                                                                                            
Circle K	Company	                                                                                                                                     
	Employer	                                                                                                                                            
Kerr-McGee	Company	Kerr-McGee Corporation                                                                                                             
	Employer	                                                                                                                                            
Tidewater Petroleum	Company	                                                                                                                          
	Employer	                                                                                                                                            
Petro-Canada	Company	                                                                                                                                 
	Employer	                                                                                                                                            
EnCana Corporation	Company	Encana Corporation                                                                                                         
	Employer	                                                                                                                                            
Sinclair Oil	Company	                                                                                                                                 
	Employer	                                                                                                                                            
Baker Hughes	Company	                                                                                                                                 
	Employer	                                                                                                                                            
Imperial Oil	Company	                                                                                                                                 
	Employer	                                                                                                                                            
Occidental Petroleum	Company	                                                                                                                         
	Employer	                                                                                                                                            
Total S.A.	Company	Total SA                                                                                                                           
	Employer	                                                                                                                                            
	Asset Owner	                                                                                                                                         
Cabot Oil	Company	                                                                                                                                    
	Employer	                                                                                                                                            
Shell Canada	Company	Shell Canada Ltd                                                                                                                 
	Employer	                                                                                                                                            
ATCO	Company	                                                                                                                                         
	Employer	                                                                                                                                            
Petroleum Development Oman	Company	                                                                                                                   
	Employer	                                                                                                                                            
BlackRock Ventures	Company	                                                                                                                           
	Employer	                                                                                                                                            
Compton Petroleum	Company	                                                                                                                            
	Employer	                                                                                                                                            
Enerflex Systems	Company	                                                                                                                             
	Employer	                                                                                                                                            
Enbridge	Company	                                                                                                                                     
	Employer	                                                                                                                                            
Ensign Resource Service Group	Company	                                                                                                                
	Employer	                                                                                                                                            
First Calgary Petroleums	Company	                                                                                                                     
	Employer	                                                                                                                                            
Getty Oil	Company	                                                                                                                                    
	Employer	                                                                                                                                            
Petoro	Company	                                                                                                                                       
	Employer	                                                                                                                                            
Standard Oil of Colorado	Company	                                                                                                                     
	Employer	                                                                                                                                            
Irving Oil	Company	                                                                                                                                   
	Employer	                                                                                                                                            
LUKoil	Company	Neftyanaya kompaniya LUKOIL OAO                                                                                                        
	Newspaper Owner	                                                                                                                                     
	Employer	                                                                                                                                            
PKN Orlen	Company	                                                                                                                                    
	Employer	                                                                                                                                            
Paramount Petroleum	Company	                                                                                                                          
	Employer	                                                                                                                                            
Petronas	Company	                                                                                                                                     
	Employer	                                                                                                                                            
Spectrum 7	Company	                                                                                                                                   
	Employer	                                                                                                                                            
SK Corp.	Company	                                                                                                                                     
	Employer	                                                                                                                                            
Starvin' Marvin's	Company	                                                                                                                            
	Employer	                                                                                                                                            
Speedway SuperAmerica	Company	                                                                                                                        
	Employer	                                                                                                                                            
Marathon Petroleum Company	Company	                                                                                                                   
	Employer	                                                                                                                                            
	NASCAR sponsor	                                                                                                                                      
Wamsutta Oil Refinery	Company	                                                                                                                        
	Employer	                                                                                                                                            
PetroChina	Company	                                                                                                                                   
	Employer	                                                                                                                                            
Baikalfinansgrup	Company	                                                                                                                             
	Employer	                                                                                                                                            
Yuganskneftegaz	Company	                                                                                                                              
	Employer	                                                                                                                                            
